id_dim_date,state_cd,station_id,sum_veh_count,functional_class,latitude,longitude,state,AVG_temp,AVG_rain,AVG_hmdty,day,month,year
241,53,P6AAAA,110025,2U,47.43086,-122.221,WA,-1.6666666666666667,0.0,73.16666666666667,3,1,2022
241,12,979933,88816,2U,26.17933,-80.30672,FL,-1.6666666666666667,0.0,73.16666666666667,3,1,2022
241,53,P05AAA,870,3R,46.438974,-117.951628,WA,-1.6666666666666667,0.0,73.16666666666667,3,1,2022
241,53,P09AAA,10053,1R,46.047791,-119.224519,WA,-1.6666666666666667,0.0,73.16666666666667,3,1,2022
232,12,979933,97998,2U,26.17933,-80.30672,FL,-4.666666666666667,0.16666666666666666,77.66666666666667,6,1,2022
232,53,P05AAA,802,3R,46.438974,-117.951628,WA,-4.666666666666667,0.16666666666666666,77.66666666666667,6,1,2022
25,12,979933,55911,2U,26.17933,-80.30672,FL,-10.5,0.0,66.5,1,1,2022
226,53,P22AAA,880,3R,48.987198,-119.455967,WA,-3.3333333333333335,0.0,75.16666666666667,4,1,2022
226,53,P09AAA,15114,1R,46.047791,-119.224519,WA,-3.3333333333333335,0.0,75.16666666666667,4,1,2022
235,12,979933,59297,2U,26.17933,-80.30672,FL,-6.333333333333333,0.0,66.66666666666667,2,1,2022
235,53,P05AAA,1213,3R,46.438974,-117.951628,WA,-6.333333333333333,0.0,66.66666666666667,2,1,2022
235,53,P09AAA,15478,1R,46.047791,-119.224519,WA,-6.333333333333333,0.0,66.66666666666667,2,1,2022
235,53,P22AAA,630,3R,48.987198,-119.455967,WA,-6.333333333333333,0.0,66.66666666666667,2,1,2022
301,53,P09AAA,17287,1R,46.047791,-119.224519,WA,0.8333333333333334,0.16666666666666666,81.16666666666667,7,1,2022
301,53,P6AAAA,123204,2U,47.43086,-122.221,WA,0.8333333333333334,0.16666666666666666,81.16666666666667,7,1,2022
322,53,P22AAA,600,3R,48.987198,-119.455967,WA,-1.6666666666666667,0.0,73.66666666666667,9,1,2022
322,53,P09AAA,15196,1R,46.047791,-119.224519,WA,-1.6666666666666667,0.0,73.66666666666667,9,1,2022
238,53,P09AAA,16873,1R,46.047791,-119.224519,WA,-1.0,0.0,77.66666666666667,8,1,2022
238,53,P6AAAA,107168,2U,47.43086,-122.221,WA,-1.0,0.0,77.66666666666667,8,1,2022
70,53,P22AAA,961,3R,48.987198,-119.455967,WA,-4.0,0.0,78.0,5,1,2022
70,53,P05AAA,1163,3R,46.438974,-117.951628,WA,-4.0,0.0,78.0,5,1,2022
70,53,P09AAA,13437,1R,46.047791,-119.224519,WA,-4.0,0.0,78.0,5,1,2022
